"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""210275 CAPINZAL DO NORTE"";1302;84604,43"
"""210280 CAROLINA"";72127;4107037,38"
"""210290 CARUTAPERA"";287251;7388817,35"
"""210300 CAXIAS"";2610178;109775496,17"
"""210310 CEDRAL"";18670;1213389,76"
"""210312 CENTRAL DO MARANHAO"";5616;751704,93"
"""210320 CHAPADINHA"";623532;19665669,93"
"""210325 CIDELANDIA"";15509;1829195,78"
"""210330 CODO"";609709;18611205,01"
"""210340 COELHO NETO"";55819;5924272,44"
"""210350 COLINAS"";834517;19720906,78"
"""210355 CONCEICAO DO LAGO-ACU"";9120;1250507,50"
"""210360 COROATA"";1848253;49221183,58"
"""210370 CURURUPU"";48570;12425601,33"
"""210380 DOM PEDRO"";26828;2557868,89"
"""210390 DUQUE BACELAR"";5688;876267,06"
"""210400 ESPERANTINOPOLIS"";91631;3935795,35"
"""210405 ESTREITO"";32170;4609738,08"
"""210407 FEIRA NOVA DO MARANHAO"";18249;1647137,41"
"""210408 FERNANDO FALCAO"";7072;724755,31"
"""210409 FORMOSA DA SERRA NEGRA"";25210;1459154,83"
"""210410 FORTALEZA DOS NOGUEIRAS"";23756;1451567,96"
"""210420 FORTUNA"";4632;1334121,41"
"""210440 GONCALVES DIAS"";9591;1772894,99"
"""210450 GOVERNADOR ARCHER"";3092;812943,70"
"""210455 GOVERNADOR EDISON LOBAO"";3462;596624,83"
"""210460 GOVERNADOR EUGENIO BARROS"";20257;2374471,46"
"""210462 GOVERNADOR LUIZ ROCHA"";6821;1266563,07"
"""210465 GOVERNADOR NEWTON BELLO"";16215;1421647,92"
"""210467 GOVERNADOR NUNES FREIRE"";209913;13031316,24"
"""210470 GRACA ARANHA"";780;291390,78"
"""210480 GRAJAU"";1021883;28065707,31"
"""210490 GUIMARAES"";4562;1193359,93"
"""210500 HUMBERTO DE CAMPOS"";9332;2494365,81"
"""210510 ICATU"";3878;900057,91"
"""210515 IGARAPE DO MEIO"";22333;1452232,72"
"""210520 IGARAPE GRANDE"";31309;2076502,37"
"""210530 IMPERATRIZ"";3919564;229187761,93"
"""210535 ITAIPAVA DO GRAJAU"";18944;1959738,14"
"""210540 ITAPECURU MIRIM"";699369;9309420,62"
"""210542 ITINGA DO MARANHAO"";7374;2288309,30"
"""210545 JATOBA"";9936;1032060,38"
"""210547 JENIPAPO DOS VIEIRAS"";17099;1488737,21"
"""210550 JOAO LISBOA"";27582;2502628,18"
"""210560 JOSELANDIA"";2881;1169388,96"
"""210570 LAGO DA PEDRA"";1441324;25398979,10"
"""210580 LAGO DO JUNCO"";16134;1690630,64"
"""210590 LAGO VERDE"";1441;330601,42"
"""210592 LAGOA DO MATO"";220;32136,08"
"""210594 LAGO DOS RODRIGUES"";20548;503224,79"
"""210596 LAGOA GRANDE DO MARANHAO"";14760;1276052,62"
"""210600 LIMA CAMPOS"";54045;2168286,97"
"""210610 LORETO"";15995;1285621,31"
"""210630 MAGALHAES DE ALMEIDA"";12599;1180576,19"
"""210637 MARANHAOZINHO"";5272;1535839,85"
"""210640 MATA ROMA"";17323;1386372,55"
"""210650 MATINHA"";15173;1617043,47"
"""210660 MATOES"";47306;2254257,64"
"""210667 MILAGRES DO MARANHAO"";6075;526098,45"
"""210670 MIRADOR"";13684;2221773,49"
"""210675 MIRANDA DO NORTE"";65976;2517217,63"
"""210680 MIRINZAL"";23500;1313264,35"
"""210690 MONCAO"";223987;5250318,10"
"""210700 MONTES ALTOS"";828;724587,18"
"""210710 MORROS"";108715;2850819,76"
"""210720 NINA RODRIGUES"";32708;1438838,38"
"""210725 NOVA COLINAS"";7829;650619,17"
"""210730 NOVA IORQUE"";111;23549,06"
"""210735 NOVA OLINDA DO MARANHAO"";55459;3210989,75"
"""210740 OLHO D'AGUA DAS CUNHAS"";27265;2495687,04"
"""210745 OLINDA NOVA DO MARANHAO"";14628;1743307,25"
"""210750 PACO DO LUMIAR"";332865;5299266,41"
"""210760 PALMEIRANDIA"";22989;1589926,81"
"""210770 PARAIBANO"";44350;2564262,76"
"""210780 PARNARAMA"";181819;3708739,89"
"""210790 PASSAGEM FRANCA"";208405;10772426,24"
"""210800 PASTOS BONS"";19716;2627647,17"
"""210805 PAULINO NEVES"";64831;3095557,40"
"""210810 PAULO RAMOS"";122307;3838535,11"
"""210820 PEDREIRAS"";1206833;20144777,41"
"""210825 PEDRO DO ROSARIO"";2528;766944,78"
"""210830 PENALVA"";30999;2504278,31"
"""210840 PERI MIRIM"";2184;114013,36"
"""210845 PERITORO"";652549;11718073,23"
"""210850 PINDARE-MIRIM"";21731;1371892,89"
"""210860 PINHEIRO"";2273804;49400102,83"
"""210870 PIO XII"";70894;2817836,20"
"""210880 PIRAPEMAS"";16372;1077338,13"
"""210890 POCAO DE PEDRAS"";39563;2272361,48"
"""210900 PORTO FRANCO"";68211;11043025,94"
"""210905 PORTO RICO DO MARANHAO"";113;32345,44"
"""210910 PRESIDENTE DUTRA"";2445397;57801155,18"
"""210920 PRESIDENTE JUSCELINO"";2855;606873,47"
"""210923 PRESIDENTE MEDICI"";127040;1496916,55"
"""210927 PRESIDENTE SARNEY"";5755;840941,31"
"""210930 PRESIDENTE VARGAS"";9867;715384,97"
"""210940 PRIMEIRA CRUZ"";11194;1348724,49"
"""210945 RAPOSA"";10292;869372,56"
"""210950 RIACHAO"";39587;3080738,59"
"""210960 ROSARIO"";82797;4185116,92"
