"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""270430 MACEIO"";13999884;748164572,31"
"""270450 MARAGOGI"";4213;648888,20"
"""270470 MARECHAL DEODORO"";2207;483908,68"
"""270500 MATA GRANDE"";12121;373031,56"
"""270510 MATRIZ DE CAMARAGIBE"";1996;430748,36"
"""270550 MURICI"";9877;226237,60"
"""270630 PALMEIRA DOS INDIOS"";495872;38537471,52"
"""270640 PAO DE ACUCAR"";6862;1093875,59"
"""270660 PAULO JACINTO"";30;11665,62"
"""270670 PENEDO"";145020;12461230,43"
"""270680 PIACABUCU"";415;120234,60"
"""270690 PILAR"";54155;8540829,11"
"""270710 PIRANHAS"";17166;1138972,51"
"""270730 PORTO CALVO"";486983;20220812,75"
"""270760 QUEBRANGULO"";1114;349271,82"
"""270770 RIO LARGO"";179965;1668990,07"
"""270800 SANTANA DO IPANEMA"";904053;48938577,44"
"""270830 SAO JOSE DA LAJE"";1055;378774,08"
"""270840 SAO JOSE DA TAPERA"";2602;818814,83"
"""270850 SAO LUIS DO QUITUNDE"";2828;432352,28"
"""270860 SAO MIGUEL DOS CAMPOS"";591823;40161884,69"
"""270915 TEOTONIO VILELA"";51509;3265260,55"
"""270920 TRAIPU"";411;94000,80"
"""270930 UNIAO DOS PALMARES"";256980;22391160,22"
"""270940 VICOSA"";15438;858222,92"
"""280020 AQUIDABA"";23570;2483587,07"
"""280030 ARACAJU"";7523643;758476146,15"
"""280120 CANINDE DE SAO FRANCISCO"";3863;462982,33"
"""280130 CAPELA"";102372;5779367,73"
"""280210 ESTANCIA"";401955;51243505,04"
"""280290 ITABAIANA"";805544;34430591,51"
"""280340 JAPOATA"";3827;1911668,96"
"""280350 LAGARTO"";1556372;77590666,05"
"""280450 NOSSA SENHORA DA GLORIA"";118568;4868569,80"
"""280480 NOSSA SENHORA DO SOCORRO"";606200;7313668,36"
"""280570 PROPRIA"";218347;9072126,92"
"""280590 RIACHUELO"";20261;988933,85"
"""280670 SAO CRISTOVAO"";139110;11249925,95"
"""280710 SIMAO DIAS"";8582;1161235,17"
"""290020 ABARE"";2528;720766,78"
"""290035 ADUSTINA"";1281;270816,04"
"""290040 AGUA FRIA"";1897;342320,42"
"""290050 ERICO CARDOSO"";2182;254929,92"
"""290070 ALAGOINHAS"";1390426;42117070,79"
"""290080 ALCOBACA"";26889;1856514,35"
"""290100 AMARGOSA"";167988;6724100,05"
"""290110 AMELIA RODRIGUES"";36054;557631,43"
"""290115 AMERICA DOURADA"";9400;1137761,92"
"""290120 ANAGE"";2528;245665,70"
"""290130 ANDARAI"";14372;774219,83"
"""290140 ANGICAL"";1795;240065,80"
"""290150 ANGUERA"";691;358826,72"
"""290160 ANTAS"";72582;14355425,81"
"""290200 ARACATU"";9957;1416183,87"
"""290205 ARACAS"";3713;178973,00"
"""290210 ARACI"";46929;2298995,49"
"""290240 AURELINO LEAL"";5940;3804641,86"
"""290250 BAIANOPOLIS"";5097;637968,79"
"""290260 BAIXA GRANDE"";29067;854457,28"
"""290270 BARRA"";293540;16529028,85"
"""290280 BARRA DA ESTIVA"";207514;8112340,55"
"""290290 BARRA DO CHOCA"";10654;1765510,81"
"""290300 BARRA DO MENDES"";3539;1184271,35"
"""290320 BARREIRAS"";10139120;146428829,10"
"""290323 BARRO ALTO"";7499;2063433,09"
"""290327 BARROCAS"";17233;870410,45"
"""290330 BARRO PRETO"";201;82482,60"
"""290340 BELMONTE"";34837;2112253,62"
"""290350 BELO CAMPO"";26224;790635,32"
"""290360 BIRITINGA"";3711;437648,92"
"""290380 BOA VISTA DO TUPIM"";1149;393680,85"
"""290390 BOM JESUS DA LAPA"";319369;22383966,07"
"""290395 BOM JESUS DA SERRA"";16430;822467,88"
"""290400 BONINAL"";11318;512431,18"
"""290405 BONITO"";5510;1246407,46"
"""290410 BOQUIRA"";22568;2259990,90"
"""290420 BOTUPORA"";1897;721107,81"
"""290430 BREJOES"";8315;658110,78"
"""290440 BREJOLANDIA"";5861;492312,31"
"""290450 BROTAS DE MACAUBAS"";566;183709,45"
"""290460 BRUMADO"";233403;27819330,30"
"""290475 BURITIRAMA"";19830;1540064,39"
"""290480 CAATIBA"";526;176463,50"
"""290485 CABACEIRAS DO PARAGUACU"";22;19723,36"
"""290490 CACHOEIRA"";21121;3857619,59"
"""290500 CACULE"";19809;2477236,20"
"""290510 CAEM"";4334;2451555,97"
"""290520 CAETITE"";340239;33048607,82"
"""290530 CAFARNAUM"";10406;1952385,43"
"""290550 CALDEIRAO GRANDE"";5106;1842485,06"
"""290560 CAMACAN"";19334;10900425,56"
"""290570 CAMACARI"";802391;37525883,58"
"""290580 CAMAMU"";3263;848868,55"
"""290590 CAMPO ALEGRE DE LOURDES"";29136;3975063,09"
"""290600 CAMPO FORMOSO"";379158;24401467,81"
"""290610 CANAPOLIS"";19334;1482638,16"
"""290620 CANARANA"";13250;1413059,76"
"""290630 CANAVIEIRAS"";19082;1785490,39"
"""290640 CANDEAL"";175;72893,88"
"""290650 CANDEIAS"";368144;27684654,04"
"""290660 CANDIBA"";8884;1559237,43"
"""290670 CANDIDO SALES"";2640;764088,38"
"""290680 CANSANCAO"";16311;5233010,54"
"""290682 CANUDOS"";11537;1220526,26"
"""290685 CAPELA DO ALTO ALEGRE"";1980;106075,30"
"""290687 CAPIM GROSSO"";66177;4925044,06"
"""290690 CARAVELAS"";33674;2042999,64"
"""290710 CARINHANHA"";15241;1520369,96"
"""290720 CASA NOVA"";21398;1895623,84"
"""290730 CASTRO ALVES"";28818;2404836,36"
"""290750 CATU"";44865;11097324,25"
"""290755 CATURAMA"";545;276398,31"
"""290760 CENTRAL"";3755;1130426,97"
"""290770 CHORROCHO"";226;85419,31"
"""290780 CICERO DANTAS"";8436;1492847,28"
"""290790 CIPO"";10124;1070863,23"
"""290800 COARACI"";5214;428611,15"
"""290810 COCOS"";41309;4246187,55"
"""290820 CONCEICAO DA FEIRA"";76;102765,92"
"""290830 CONCEICAO DO ALMEIDA"";35067;1129844,23"
"""290840 CONCEICAO DO COITE"";342169;19403008,42"
"""290850 CONCEICAO DO JACUIPE"";46814;967267,25"
"""290860 CONDE"";989;297740,35"
"""290870 CONDEUBA"";3026;1128210,09"
"""290890 CORACAO DE MARIA"";20024;8004960,94"
"""290900 CORDEIROS"";1500;502716,11"
"""290910 CORIBE"";24570;3465508,63"
"""290930 CORRENTINA"";65093;5016027,12"
"""290950 CRAVOLANDIA"";4547;1459157,77"
"""290960 CRISOPOLIS"";10318;850041,93"
"""290970 CRISTOPOLIS"";78436;7665029,89"
"""290980 CRUZ DAS ALMAS"";166367;20502294,43"
"""290990 CURACA"";4153;1869057,71"
"""291005 DIAS D'AVILA"";41512;2962324,75"
"""291010 DOM BASILIO"";7575;625833,47"
"""291030 ELISIO MEDRADO"";1372;393842,94"
"""291040 ENCRUZILHADA"";10606;1712351,09"
"""291050 ENTRE RIOS"";2947;930443,56"
"""291060 ESPLANADA"";66740;3986962,92"
"""291070 EUCLIDES DA CUNHA"";220383;14098552,56"
"""291072 EUNAPOLIS"";735402;38652730,34"
"""291080 FEIRA DE SANTANA"";7903294;435873042,88"
"""291085 FILADELFIA"";3887;1681300,82"
"""291110 FORMOSA DO RIO PRETO"";56751;4433488,48"
"""291120 GANDU"";73613;2777681,06"
"""291130 GENTIO DO OURO"";5052;636804,63"
"""291150 GONGOGI"";1009;385423,98"
"""291170 GUANAMBI"";1753756;59621830,59"
"""291180 GUARATINGA"";5765;1051416,40"
"""291190 IACU"";11756;902534,55"
"""291200 IBIASSUCE"";7491;1937870,56"
"""291210 IBICARAI"";3079;664608,38"
"""291230 IBICUI"";2006;434597,89"
"""291240 IBIPEBA"";2327;303545,62"
"""291250 IBIPITANGA"";8324;635962,92"
"""291270 IBIRAPITANGA"";21683;2745024,83"
"""291280 IBIRAPUA"";8044;993509,66"
"""291290 IBIRATAIA"";54409;3183361,85"
"""291300 IBITIARA"";28371;1277759,38"
"""291310 IBITITA"";3089;1604923,01"
"""291320 IBOTIRAMA"";114788;9778883,99"
"""291340 IGAPORA"";10614;1930822,40"
"""291345 IGRAPIUNA"";1949;727765,52"
"""291350 IGUAI"";61521;9946052,22"
"""291360 ILHEUS"";2290067;138894633,41"
"""291370 INHAMBUPE"";5048;866383,40"
"""291380 IPECAETA"";369;142034,02"
"""291390 IPIAU"";386275;9903305,52"
"""291400 IPIRA"";12217;2338538,08"
"""291410 IPUPIARA"";1808;381482,73"
"""291420 IRAJUBA"";5600;1145533,31"
"""291430 IRAMAIA"";25674;3026204,17"
"""291440 IRAQUARA"";19546;9881989,45"
"""291450 IRARA"";11985;968096,31"
"""291460 IRECE"";2168670;62417425,66"
"""291465 ITABELA"";64824;4409653,44"
"""291470 ITABERABA"";456852;48435987,42"
"""291480 ITABUNA"";4253905;206720852,56"
"""291490 ITACARE"";5283;1318363,37"
"""291500 ITAETE"";1764;525514,66"
"""291510 ITAGI"";800;396988,72"
"""291535 ITAGUACU DA BAHIA"";6547;724382,57"
"""291540 ITAJU DO COLONIA"";2397;542463,82"
"""291550 ITAJUIPE"";9883;7536759,10"
"""291560 ITAMARAJU"";122436;12453997,70"
"""291580 ITAMBE"";31929;2659848,87"
"""291600 ITANHEM"";30850;3016266,81"
"""291610 ITAPARICA"";79875;8202747,73"
"""291630 ITAPEBI"";917;325949,60"
"""291640 ITAPETINGA"";357323;22983019,64"
"""291650 ITAPICURU"";8241;850737,98"
"""291660 ITAPITANGA"";345;145872,78"
"""291670 ITAQUARA"";6052;985100,51"
"""291680 ITARANTIM"";20473;2319715,06"
"""291685 ITATIM"";1294;520834,33"
"""291690 ITIRUCU"";55075;4772640,30"
"""291700 ITIUBA"";25683;2790839,56"
"""291710 ITORORO"";11362;4561272,33"
"""291720 ITUACU"";6247;722790,32"
"""291730 ITUBERA"";6744;1154974,88"
"""291733 IUIU"";3327;472510,90"
"""291735 JABORANDI"";67235;2144507,26"
"""291740 JACARACI"";29044;1130241,30"
"""291750 JACOBINA"";862042;24883196,25"
"""291760 JAGUAQUARA"";109220;5114158,49"
"""291770 JAGUARARI"";26484;1967555,04"
"""291800 JEQUIE"";2533693;137749391,22"
"""291810 JEREMOABO"";5250;1460766,65"
"""291820 JIQUIRICA"";2856;1047636,76"
"""291830 JITAUNA"";1358;624600,21"
"""291835 JOAO DOURADO"";3650;1158133,11"
"""291840 JUAZEIRO"";3051080;132034555,42"
"""291850 JUSSARA"";7364;1690054,42"
"""291855 JUSSARI"";1520;314256,44"
"""291860 JUSSIAPE"";3873;442975,19"
"""291880 LAJE"";19422;808475,13"
"""291905 LAJEDO DO TABOCAL"";5613;985396,36"
"""291915 LAPAO"";26617;3234679,52"
"""291920 LAURO DE FREITAS"";1495744;85262736,02"
"""291930 LENCOIS"";579;235735,01"
"""291940 LICINIO DE ALMEIDA"";5957;616480,44"
"""291950 LIVRAMENTO DE NOSSA SENHORA"";40111;5597213,67"
"""291955 LUIS EDUARDO MAGALHAES"";28907;9727958,67"
"""291960 MACAJUBA"";13600;529418,02"
"""291970 MACARANI"";28196;4328480,13"
"""291980 MACAUBAS"";93101;4028536,01"
"""291992 MADRE DE DEUS"";21492;487391,02"
"""292000 MAIQUINIQUE"";8265;1626812,80"
"""292010 MAIRI"";117262;2662223,54"
"""292020 MALHADA"";7148;1240070,47"
"""292050 MARACAS"";13073;2829427,37"
"""292080 MARCIONILIO SOUZA"";1317;274109,07"
"""292100 MATA DE SAO JOAO"";25497;4399615,08"
"""292105 MATINA"";5801;591303,63"
"""292110 MEDEIROS NETO"";54249;3686049,92"
"""292120 MIGUEL CALMON"";172235;15453039,25"
"""292130 MILAGRES"";5565;446724,46"
"""292150 MONTE SANTO"";270826;5167715,10"
"""292170 MORRO DO CHAPEU"";115137;4456368,54"
"""292180 MORTUGABA"";3184;673973,31"
"""292190 MUCUGE"";6346;790323,80"
"""292200 MUCURI"";39800;4544890,53"
"""292205 MULUNGU DO MORRO"";7607;1268498,74"
"""292210 MUNDO NOVO"";15706;765712,58"
"""292230 MURITIBA"";3618;2731638,98"
"""292240 MUTUIPE"";6403;2422804,86"
"""292250 NAZARE"";225940;15499827,74"
"""292265 NORDESTINA"";1848;561564,23"
"""292270 NOVA CANAA"";16365;5685710,62"
"""292273 NOVA FATIMA"";2466;300208,86"
"""292290 NOVA SOURE"";2896;705857,38"
"""292300 NOVA VICOSA"";48818;2742641,37"
"""292310 OLINDINA"";10545;2818921,27"
"""292320 OLIVEIRA DOS BREJINHOS"";27733;1390017,88"
"""292330 OURICANGAS"";1537;330454,62"
"""292335 OUROLANDIA"";1841;568522,23"
"""292340 PALMAS DE MONTE ALTO"";13773;1669140,77"
"""292360 PARAMIRIM"";67183;8855177,91"
"""292370 PARATINGA"";25584;3556492,95"
"""292380 PARIPIRANGA"";1315;298301,09"
"""292390 PAU BRASIL"";934;387554,28"
"""292400 PAULO AFONSO"";457946;26101147,11"
"""292405 PE DE SERRA"";1113;487772,21"
"""292430 PIATA"";15742;1415036,28"
"""292440 PILAO ARCADO"";1345;396599,47"
"""292450 PINDAI"";5221;1640892,41"
"""292460 PINDOBACU"";29261;3501572,83"
"""292465 PINTADAS"";7507;472874,67"
"""292470 PIRIPA"";2633;456943,68"
"""292480 PIRITIBA"";903;329639,13"
"""292490 PLANALTINO"";6691;1944406,20"
"""292500 PLANALTO"";9722;1027989,01"
"""292510 POCOES"";115325;9765441,92"
"""292520 POJUCA"";120555;3651761,88"
"""292525 PONTO NOVO"";4708;1674753,33"
"""292530 PORTO SEGURO"";1696024;56917030,41"
"""292540 POTIRAGUA"";776;233842,40"
"""292550 PRADO"";26953;1837298,52"
"""292560 PRESIDENTE DUTRA"";6010;917373,37"
"""292575 PRESIDENTE TANCREDO NEVES"";5221;1171361,13"
"""292580 QUEIMADAS"";7557;2331799,92"
"""292590 QUIJINGUE"";4056;1211102,90"
"""292595 RAFAEL JAMBEIRO"";3815;675029,98"
"""292600 REMANSO"";38672;15439266,75"
"""292610 RETIROLANDIA"";6537;875800,63"
"""292620 RIACHAO DAS NEVES"";17186;1151605,80"
"""292630 RIACHAO DO JACUIPE"";25032;5656434,57"
"""292640 RIACHO DE SANTANA"";7769;2577935,87"
"""292650 RIBEIRA DO AMPARO"";1547;328777,65"
"""292660 RIBEIRA DO POMBAL"";933591;27629113,00"
"""292670 RIO DE CONTAS"";9135;694100,47"
"""292690 RIO DO PIRES"";6259;882442,72"
"""292700 RIO REAL"";28610;2282579,47"
"""292720 RUY BARBOSA"";241187;17270920,93"
"""292730 SALINAS DA MARGARIDA"";4036;308128,98"
"""292740 SALVADOR"";67178742;3249789232,04"
"""292750 SANTA BARBARA"";661;304531,22"
"""292770 SANTA CRUZ CABRALIA"";2877;668672,03"
"""292790 SANTA INES"";16950;1861146,53"
"""292800 SANTALUZ"";25743;4573678,58"
"""292810 SANTA MARIA DA VITORIA"";174707;4325439,09"
"""292820 SANTANA"";53205;2576011,58"
"""292830 SANTANOPOLIS"";585;136646,97"
"""292840 SANTA RITA DE CASSIA"";148796;2948669,92"
"""292850 SANTA TERESINHA"";1852;516119,57"
"""292860 SANTO AMARO"";28586;2655302,09"
"""292870 SANTO ANTONIO DE JESUS"";3036272;117844228,20"
"""292880 SANTO ESTEVAO"";4851;2003406,10"
"""292890 SAO DESIDERIO"";21179;3962479,83"
"""292895 SAO DOMINGOS"";3708;460540,40"
"""292900 SAO FELIX"";289026;20966145,79"
"""292905 SAO FELIX DO CORIBE"";34837;1928169,15"
"""292910 SAO FELIPE"";10489;685561,51"
"""292920 SAO FRANCISCO DO CONDE"";53246;1768551,68"
"""292925 SAO GABRIEL"";7746;1042086,59"
"""292930 SAO GONCALO DOS CAMPOS"";4601;730173,37"
"""292940 SAO MIGUEL DAS MATAS"";23905;6930391,09"
"""292950 SAO SEBASTIAO DO PASSE"";78653;1973711,19"
"""292960 SAPEACU"";17463;1391252,96"
"""292970 SATIRO DIAS"";2548;851986,18"
"""292975 SAUBARA"";121;23076,61"
"""292980 SAUDE"";4097;1555657,75"
"""292990 SEABRA"";592893;30858507,88"
"""293000 SEBASTIAO LARANJEIRAS"";3257;417833,74"
"""293010 SENHOR DO BONFIM"";299896;20395402,63"
"""293015 SERRA DO RAMALHO"";27181;1880541,86"
"""293020 SENTO SE"";2913;1356996,85"
"""293030 SERRA DOURADA"";27947;2836906,63"
"""293040 SERRA PRETA"";2658;389188,60"
"""293050 SERRINHA"";162622;7515778,55"
"""293060 SERROLANDIA"";1600;621369,32"
"""293070 SIMOES FILHO"";202793;7103383,35"
"""293075 SITIO DO MATO"";3903;409472,43"
"""293077 SOBRADINHO"";11313;1006490,21"
"""293080 SOUTO SOARES"";13287;958633,53"
"""293090 TABOCAS DO BREJO VELHO"";4999;809253,07"
"""293100 TANHACU"";2969;360966,96"
"""293105 TANQUE NOVO"";36941;1619722,33"
"""293110 TANQUINHO"";712;200744,06"
"""293120 TAPEROA"";11081;1740385,00"
"""293130 TAPIRAMUTA"";26161;1439573,22"
"""293135 TEIXEIRA DE FREITAS"";2360796;100925111,92"
"""293150 TEOFILANDIA"";4311;567501,50"
"""293160 TEOLANDIA"";10844;1020515,90"
"""293180 TREMEDAL"";1782;361301,09"
"""293190 TUCANO"";24066;2445424,88"
"""293200 UAUA"";3939;1604315,69"
"""293210 UBAIRA"";58141;2874193,18"
"""293220 UBAITABA"";33987;8522539,00"
"""293230 UBATA"";2458;508113,95"
"""293240 UIBAI"";7162;833498,46"
"""293250 UNA"";159613;1970832,45"
"""293260 URANDI"";14400;2052229,97"
"""293280 UTINGA"";13954;1107832,94"
"""293290 VALENCA"";552496;32680529,53"
"""293300 VALENTE"";13407;2187835,54"
"""293305 VARZEA DA ROCA"";761;302235,28"
"""293310 VARZEA DO POCO"";3266;766929,80"
"""293315 VARZEA NOVA"";21520;5118215,47"
"""293320 VERA CRUZ"";929;487873,01"
"""293325 VEREDA"";3709;359171,06"
"""293330 VITORIA DA CONQUISTA"";6574001;359802597,99"
"""293340 WAGNER"";39614;4071643,42"
"""293345 WANDERLEY"";97981;6660200,84"
"""293350 WENCESLAU GUIMARAES"";9304;946265,76"
"""293360 XIQUE-XIQUE"";48478;5824128,11"
"""310010 ABADIA DOS DOURADOS"";60;23407,13"
"""310020 ABAETE"";104118;4387227,15"
"""310030 ABRE CAMPO"";52945;4238549,93"
"""310060 AGUA BOA"";2214;197604,81"
"""310090 AGUAS FORMOSAS"";81114;7298766,51"
"""310100 AGUAS VERMELHAS"";30548;1621689,77"
"""310110 AIMORES"";261077;5260153,71"
"""310120 AIURUOCA"";142255;7965564,85"
"""310130 ALAGOA"";3939;245354,67"
"""310150 ALEM PARAIBA"";319700;13557533,49"
"""310160 ALFENAS"";2615141;201304701,09"
"""310170 ALMENARA"";681020;26082256,13"
"""310190 ALPINOPOLIS"";68354;3342334,09"
"""310200 ALTEROSA"";46610;2231841,54"
"""310210 ALTO RIO DOCE"";9445;812548,76"
"""310230 ALVINOPOLIS"";23531;1190059,37"
"""310260 ANDRADAS"";183902;10361523,71"
"""310270 CACHOEIRA DE PAJEU"";23870;938717,62"
"""310280 ANDRELANDIA"";81127;1471814,63"
"""310290 ANTONIO CARLOS"";9159;228928,28"
"""310340 ARACUAI"";466849;14495685,61"
"""310350 ARAGUARI"";3078018;94746570,77"
"""310375 ARAPORA"";56042;1993174,69"
"""310400 ARAXA"";1130235;47587657,24"
"""310410 ARCEBURGO"";904;43242,60"
"""310420 ARCOS"";127354;7661034,43"
"""310430 AREADO"";29030;1377647,16"
"""310450 ARINOS"";3630;1046570,36"
"""310470 ATALEIA"";25997;1688850,25"
"""310490 BAEPENDI"";318910;25790582,27"
"""310510 BAMBUI"";324393;9533562,91"
"""310540 BARAO DE COCAIS"";212584;3144700,41"
"""310560 BARBACENA"";5471909;201957656,42"
"""310590 BARROSO"";233995;7482381,74"
"""310620 BELO HORIZONTE"";46974528;3822974189,12"
"""310630 BELO ORIENTE"";96408;7933557,80"
"""310640 BELO VALE"";65271;1645817,36"
"""310650 BERILO"";26760;658249,21"
"""310670 BETIM"";2198804;269744160,19"
"""310690 BICAS"";38401;1518450,79"
"""310710 BOA ESPERANCA"";349699;12519924,38"
"""310730 BOCAIUVA"";152636;10728737,06"
"""310740 BOM DESPACHO"";509667;28711471,75"
"""310750 BOM JARDIM DE MINAS"";36594;712166,12"
"""310780 BOM JESUS DO GALHO"";16274;2726705,04"
"""310800 BOM SUCESSO"";48479;1965286,32"
"""310840 BOTELHOS"";76079;860243,10"
"""310860 BRASILIA DE MINAS"";245757;29589694,75"
"""310890 BRAZOPOLIS"";17906;939964,38"
"""310900 BRUMADINHO"";231871;9869582,38"
"""310910 BUENO BRANDAO"";61540;1271876,46"
"""310930 BURITIS"";25371;2637005,22"
"""310940 BURITIZEIRO"";7922;113586,21"
"""310950 CABO VERDE"";108272;2219685,28"
"""310990 CAETANOPOLIS"";79849;2499179,84"
"""311000 CAETE"";333762;7082397,36"
"""311030 CALDAS"";26167;1502527,41"
"""311050 CAMANDUCAIA"";225102;4216587,55"
"""311060 CAMBUI"";188483;7189865,50"
"""311070 CAMBUQUIRA"";68061;1886828,47"
"""311090 CAMPANHA"";22301;865616,82"
"""311100 CAMPESTRE"";184954;2776543,87"
"""311110 CAMPINA VERDE"";47803;2483811,81"
"""311120 CAMPO BELO"";248952;46631604,13"
"""311130 CAMPO DO MEIO"";13601;654233,11"
"""311150 CAMPOS ALTOS"";41387;1803469,72"
"""311160 CAMPOS GERAIS"";75609;5346491,69"
"""311180 CANAPOLIS"";42307;1925547,35"
"""311200 CANDEIAS"";83294;1290845,62"
"""311230 CAPELINHA"";372256;19448911,43"
"""311260 CAPINOPOLIS"";77375;1528181,34"
"""311280 CAPITOLIO"";31300;702514,46"
"""311300 CARAI"";26716;1425243,92"
"""311320 CARANDAI"";76981;3361039,22"
"""311330 CARANGOLA"";2333928;125028031,42"
"""311340 CARATINGA"";1998374;105025877,73"
"""311350 CARBONITA"";22637;1272829,23"
"""311360 CAREACU"";1549;474837,52"
"""311370 CARLOS CHAGAS"";100627;3496230,58"
"""311390 CARMO DA CACHOEIRA"";15931;1367525,21"
"""311400 CARMO DA MATA"";17808;298432,19"
"""311410 CARMO DE MINAS"";55890;1139865,02"
"""311430 CARMO DO PARANAIBA"";63503;3829436,98"
"""311440 CARMO DO RIO CLARO"";115284;3569944,20"
"""311450 CARMOPOLIS DE MINAS"";83254;1817951,74"
"""311460 CARRANCAS"";2529;428958,25"
"""311510 CASSIA"";277658;12370421,77"
"""311530 CATAGUASES"";962426;33030798,07"
"""311550 CAXAMBU"";95698;3736835,71"
"""311570 CENTRAL DE MINAS"";7126;527506,97"
"""311580 CENTRALINA"";2164;856783,31"
"""311615 CHAPADA GAUCHA"";2592;415354,67"
"""311630 CIPOTANEA"";4826;323636,62"
"""311660 CLAUDIO"";127651;6041755,68"
"""311680 COLUNA"";30037;1348500,91"
"""311710 CONCEICAO DA APARECIDA"";39107;1535822,71"
"""311730 CONCEICAO DAS ALAGOAS"";109460;4817874,06"
"""311750 CONCEICAO DO MATO DENTRO"";62304;3217088,33"
"""311770 CONCEICAO DO RIO VERDE"";14472;1872734,32"
"""311800 CONGONHAS"";490382;12393385,85"
"""311820 CONQUISTA"";2251;180097,16"
"""311830 CONSELHEIRO LAFAIETE"";1645030;57212960,00"
"""311840 CONSELHEIRO PENA"";45614;3632117,22"
"""311860 CONTAGEM"";3014558;213512619,33"
"""311880 CORACAO DE JESUS"";106482;5765411,55"
"""311930 COROMANDEL"";48979;4369797,09"
"""311940 CORONEL FABRICIANO"";1298466;42153096,99"
"""312020 CRISTAIS"";31350;1104709,29"
"""312050 CRISTINA"";23304;1686683,98"
"""312080 CRUZILIA"";130341;6807786,36"
"""312090 CURVELO"";1328585;82944831,39"
"""312120 DELFINOPOLIS"";13064;276994,34"
"""312160 DIAMANTINA"";2095372;127967277,07"
"""312200 DIVINO"";50599;2378093,61"
"""312210 DIVINO DAS LARANJEIRAS"";3724;295544,88"
"""312230 DIVINOPOLIS"";3558538;272439360,32"
"""312260 DOM JOAQUIM"";14910;420636,17"
"""312270 DOM SILVERIO"";15426;439170,55"
"""312320 DORES DO INDAIA"";48755;2827245,03"
"""312360 ELOI MENDES"";75743;6787755,83"
"""312390 ENTRE RIOS DE MINAS"";389837;4867015,04"
"""312400 ERVALIA"";97492;2096794,67"
"""312410 ESMERALDAS"";359348;6369724,32"
"""312420 ESPERA FELIZ"";113979;2315819,90"
"""312430 ESPINOSA"";120656;4364741,08"
"""312450 ESTIVA"";31459;619977,36"
"""312470 ESTRELA DO INDAIA"";3568;482775,36"
"""312490 EUGENOPOLIS"";19610;1887679,82"
"""312510 EXTREMA"";143946;17284785,62"
"""312560 FELISBURGO"";30004;2310428,23"
"""312590 FERROS"";27728;894415,94"
"""312595 FERVEDOURO"";1227;599354,40"
"""312610 FORMIGA"";1845391;75404446,23"
"""312670 FRANCISCO SA"";46859;5203781,76"
"""312690 FREI INOCENCIO"";123;46737,01"
"""312710 FRUTAL"";257035;7915827,92"
"""312760 GOUVEIA"";41734;2385970,75"
"""312770 GOVERNADOR VALADARES"";7464025;428317564,02"
"""312780 GRAO MOGOL"";53315;3005264,75"
"""312800 GUANHAES"";621383;26782443,66"
"""312810 GUAPE"";20368;1056257,04"
"""312820 GUARACIABA"";788;26440,43"
"""312830 GUARANESIA"";81794;2262409,42"
"""312860 GUARDA-MOR"";18626;809658,71"
"""312870 GUAXUPE"";630083;30388361,83"
"""312910 GURINHATA"";4858;313690,61"
"""312940 IBERTIOGA"";31546;403772,07"
"""312950 IBIA"";49673;2207296,76"
"""312970 IBIRACI"";357;24526,50"
"""312980 IBIRITE"";828817;25860012,64"
"""313010 IGARAPE"";8300;10055112,96"
"""313030 IGUATAMA"";42709;1172002,25"
"""313050 ILICINEA"";19340;1527052,35"
"""313090 INHAPIM"";189340;2826232,36"
"""313120 IPANEMA"";62072;5202164,29"
"""313130 IPATINGA"";10599993;377518844,32"
"""313150 IPUIUNA"";2150;290217,37"
"""313170 ITABIRA"";2797800;88161087,96"
"""313180 ITABIRINHA"";110289;4950295,89"
"""313190 ITABIRITO"";272834;7460946,04"
"""313210 ITACARAMBI"";36670;1259440,28"
"""313220 ITAGUARA"";98396;2827318,96"
"""313230 ITAIPE"";6156;1018175,03"
"""313240 ITAJUBA"";2693759;138241007,55"
"""313250 ITAMARANDIBA"";219458;8218957,04"
"""313270 ITAMBACURI"";235010;10358860,83"
"""313290 ITAMOGI"";329;33031,72"
"""313300 ITAMONTE"";77692;2394318,31"
"""313310 ITANHANDU"";162023;18728299,61"
"""313320 ITANHOMI"";42308;4897785,74"
"""313330 ITAOBIM"";189404;12753430,56"
"""313350 ITAPECERICA"";107595;3102628,90"
"""313375 ITAU DE MINAS"";45824;724085,70"
"""313380 ITAUNA"";1023909;53108285,14"
"""313420 ITUIUTABA"";1223654;48800897,37"
"""313440 ITURAMA"";147824;6468489,73"
"""313460 JABOTICATUBAS"";8000;882737,34"
"""313470 JACINTO"";39135;4065816,84"
"""313490 JACUTINGA"";79275;3230923,78"
"""313505 JAIBA"";53893;2747131,44"
"""313510 JANAUBA"";1511866;75500592,74"
"""313520 JANUARIA"";145901;12525213,93"
"""313540 JECEABA"";25486;321346,06"
"""313580 JEQUITINHONHA"";42121;3863234,11"
"""313600 JOAIMA"";25207;1966928,55"
"""313620 JOAO MONLEVADE"";2102662;39803257,48"
"""313630 JOAO PINHEIRO"";433440;15325504,75"
"""313650 JORDANIA"";11129;880022,50"
"""313670 JUIZ DE FORA"";12641546;798842374,74"
"""313690 JURUAIA"";24457;1351388,06"
"""313700 LADAINHA"";18901;1621900,08"
"""313710 LAGAMAR"";2363;389249,12"
